#options: 2940x1474 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1601 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:47.04 aq:28.15 tex:245108 mv:71486 misc:6294 imb:17112 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:4 cpbdur:4 q:45.96 aq:38.58 tex:964 mv:322 misc:1010 imb:13 pmb:40 smb:17059 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:45.96 aq:37.32 tex:527 mv:651 misc:1030 imb:61 pmb:37 smb:17014 d:- ref:0 ;
in:1 out:3 type:b dur:24 cpbdur:24 q:45.96 aq:47.00 tex:0 mv:11 misc:741 imb:0 pmb:4 smb:17108 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:45.96 aq:47.05 tex:251 mv:89 misc:764 imb:2 pmb:13 smb:17097 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:47.16 aq:32.29 tex:984 mv:362 misc:1110 imb:14 pmb:57 smb:17041 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:46.56 aq:45.93 tex:308 mv:73 misc:795 imb:2 pmb:15 smb:17095 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:46.26 aq:46.97 tex:298 mv:86 misc:776 imb:3 pmb:15 smb:17094 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:46.86 aq:48.56 tex:276 mv:60 misc:768 imb:1 pmb:14 smb:17097 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:46.97 aq:32.69 tex:2073 mv:465 misc:1182 imb:47 pmb:48 smb:17017 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:47.07 aq:47.15 tex:232 mv:49 misc:783 imb:1 pmb:12 smb:17099 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:47.12 aq:48.63 tex:225 mv:51 misc:772 imb:1 pmb:11 smb:17100 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:47.02 aq:48.52 tex:312 mv:72 misc:752 imb:3 pmb:7 smb:17102 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:46.76 aq:26.70 tex:987 mv:1371 misc:1442 imb:365 pmb:221 smb:16526 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:46.86 aq:46.00 tex:0 mv:0 misc:744 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:46.92 aq:48.00 tex:0 mv:0 misc:728 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:46.81 aq:47.00 tex:0 mv:0 misc:728 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:50.76 aq:44.00 tex:0 mv:0 misc:736 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:48.76 aq:47.00 tex:0 mv:0 misc:744 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:47.76 aq:48.00 tex:0 mv:0 misc:728 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:49.76 aq:50.00 tex:0 mv:0 misc:728 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:42.76 aq:26.71 tex:85036 mv:10466 misc:6410 imb:1487 pmb:2999 smb:12626 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:46.76 aq:45.00 tex:0 mv:0 misc:744 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:48.76 aq:49.00 tex:0 mv:0 misc:728 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:44.76 aq:45.00 tex:0 mv:0 misc:728 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:28 out:25 type:P dur:4 cpbdur:4 q:38.22 aq:33.17 tex:65711 mv:1034 misc:3791 imb:36 pmb:913 smb:16163 d:- ref:0 ;
in:26 out:26 type:B dur:70 cpbdur:70 q:40.49 aq:41.00 tex:2 mv:21 misc:769 imb:0 pmb:9 smb:17103 d:- ref:0 ;
in:25 out:27 type:b dur:8 cpbdur:8 q:41.62 aq:42.00 tex:0 mv:0 misc:728 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:39.35 aq:41.18 tex:596 mv:123 misc:753 imb:4 pmb:8 smb:17100 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:35.84 aq:25.62 tex:203060 mv:8329 misc:5115 imb:1098 pmb:2227 smb:13787 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:37.03 aq:26.33 tex:873 mv:91 misc:812 imb:3 pmb:17 smb:17092 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:37.62 aq:34.69 tex:724 mv:96 misc:772 imb:3 pmb:14 smb:17095 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:36.43 aq:39.08 tex:728 mv:72 misc:784 imb:1 pmb:16 smb:17095 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:34.65 aq:26.38 tex:59829 mv:3659 misc:5272 imb:574 pmb:1105 smb:15433 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:35.25 aq:29.56 tex:939 mv:100 misc:817 imb:3 pmb:17 smb:17092 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:35.54 aq:30.67 tex:897 mv:69 misc:778 imb:2 pmb:14 smb:17096 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:34.95 aq:38.05 tex:1002 mv:50 misc:772 imb:0 pmb:17 smb:17095 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:35.28 aq:27.17 tex:9108 mv:630 misc:1694 imb:107 pmb:147 smb:16858 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:34.97 aq:31.74 tex:1004 mv:109 misc:823 imb:2 pmb:21 smb:17089 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:34.81 aq:37.29 tex:942 mv:65 misc:777 imb:1 pmb:18 smb:17093 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:35.12 aq:35.57 tex:1076 mv:79 misc:781 imb:2 pmb:17 smb:17093 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:30.09 aq:16.26 tex:290482 mv:13448 misc:5502 imb:4018 pmb:2345 smb:10749 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:32.69 aq:29.10 tex:1262 mv:94 misc:804 imb:3 pmb:19 smb:17090 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:33.98 aq:24.91 tex:1337 mv:137 misc:806 imb:6 pmb:17 smb:17089 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:31.39 aq:25.06 tex:1232 mv:115 misc:773 imb:4 pmb:14 smb:17094 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:31.55 aq:21.38 tex:3259 mv:439 misc:1222 imb:44 pmb:61 smb:17007 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:30.82 aq:30.80 tex:1411 mv:62 misc:783 imb:1 pmb:15 smb:17096 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:30.46 aq:32.96 tex:1414 mv:60 misc:774 imb:1 pmb:16 smb:17095 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:31.18 aq:34.12 tex:1277 mv:78 misc:789 imb:1 pmb:24 smb:17087 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:32.14 aq:23.80 tex:1710 mv:169 misc:881 imb:18 pmb:24 smb:17070 d:- ref:0 ;
in:50 out:50 type:B dur:4 cpbdur:4 q:31.84 aq:34.02 tex:1504 mv:78 misc:794 imb:2 pmb:19 smb:17091 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:31.69 aq:26.85 tex:1247 mv:67 misc:758 imb:2 pmb:13 smb:17097 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:31.99 aq:34.01 tex:1356 mv:117 misc:783 imb:2 pmb:21 smb:17089 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:31.70 aq:28.01 tex:1845 mv:211 misc:872 imb:26 pmb:11 smb:17075 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:31.92 aq:34.46 tex:1329 mv:68 misc:795 imb:0 pmb:22 smb:17090 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:32.03 aq:35.26 tex:1296 mv:87 misc:785 imb:0 pmb:22 smb:17090 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:31.81 aq:24.92 tex:1287 mv:71 misc:770 imb:2 pmb:15 smb:17095 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:33.46 aq:25.74 tex:3242 mv:370 misc:1180 imb:19 pmb:101 smb:16992 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:32.58 aq:24.30 tex:1537 mv:159 misc:872 imb:3 pmb:41 smb:17068 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:32.14 aq:34.50 tex:1626 mv:125 misc:857 imb:2 pmb:32 smb:17078 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:33.02 aq:30.41 tex:1365 mv:120 misc:779 imb:3 pmb:17 smb:17092 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:32.78 aq:26.76 tex:4481 mv:312 misc:1279 imb:22 pmb:91 smb:16999 d:- ref:0 ;
